time_us curve_nan curve_nan curve_nan curve_nan curve_nan
1.3909774436e+03 8.3816086205e-01 8.5347567387e-01 8.6731567520e-01 8.6559164472e-01 8.7354809196e-01
1.4097744361e+03 8.3596963582e-01 8.5154949987e-01 8.6571370055e-01 8.6412984013e-01 8.7223583713e-01
1.4285714286e+03 8.3375798471e-01 8.4960586517e-01 8.6409686321e-01 8.6265398018e-01 8.7090912540e-01
1.4473684211e+03 8.3152643199e-01 8.4764519754e-01 8.6246529318e-01 8.6116423198e-01 8.6956817216e-01
1.4661654135e+03 8.2927483190e-01 8.4566765564e-01 8.6081927328e-01 8.5966070397e-01 8.6821308552e-01
1.4849624060e+03 8.2700383523e-01 8.4367374681e-01 8.5915899917e-01 8.5814350594e-01 8.6684380880e-01
1.5037593985e+03 8.2471343854e-01 8.4166350872e-01 8.5748452828e-01 8.5661290009e-01 8.6546055860e-01
1.5225563910e+03 8.2240405291e-01 8.3963746932e-01 8.5579606127e-01 8.5506872531e-01 8.6406357066e-01
1.5413533835e+03 8.2007576771e-01 8.3759596439e-01 8.5409384576e-01 8.5351136087e-01 8.6265280609e-01
1.5601503759e+03 8.1772917775e-01 8.3553920790e-01 8.5237817532e-01 8.5194076601e-01 8.6122842347e-01
1.5789473684e+03 8.1536435803e-01 8.3346756059e-01 8.5064907153e-01 8.5035716437e-01 8.5979065536e-01
1.5977443609e+03 8.1298166982e-01 8.3138128716e-01 8.4890668606e-01 8.4876060236e-01 8.5833950690e-01
1.6165413534e+03 8.1058130265e-01 8.2928086497e-01 8.4715128912e-01 8.4715118989e-01 8.5687502462e-01
1.6353383459e+03 8.0816395431e-01 8.2716636349e-01 8.4538304976e-01 8.4552914262e-01 8.5539754914e-01
1.6541353383e+03 8.0572962270e-01 8.2503830336e-01 8.4360206323e-01 8.4389447418e-01 8.5390707130e-01
1.6729323308e+03 8.0327876013e-01 8.2289701079e-01 8.4180860895e-01 8.4224739259e-01 8.5240371946e-01
1.6917293233e+03 8.0081175775e-01 8.2074270534e-01 8.4000286242e-01 8.4058799742e-01 8.5088762999e-01
1.7105263158e+03 7.9832901571e-01 8.1857588391e-01 8.3818489673e-01 8.3891639766e-01 8.4935896469e-01
1.7293233083e+03 7.9583096435e-01 8.1639655252e-01 8.3635499152e-01 8.3723276643e-01 8.4781781316e-01
1.7481203008e+03 7.9331784813e-01 8.1420539136e-01 8.3451316715e-01 8.3553719762e-01 8.4626439517e-01
1.7669172932e+03 7.9079014918e-01 8.1200249305e-01 8.3265973747e-01 8.3382982243e-01 8.4469873647e-01
1.7857142857e+03 7.8824836094e-01 8.0978820249e-01 8.3079491448e-01 8.3211074003e-01 8.4312096575e-01
1.8045112782e+03 7.8569272836e-01 8.0756286041e-01 8.2891869974e-01 8.3038016253e-01 8.4153125807e-01
1.8233082707e+03 7.8312384962e-01 8.0532672603e-01 8.2703135930e-01 8.2863817037e-01 8.3992979200e-01
1.8421052632e+03 7.8054214219e-01 8.0308021020e-01 8.2513299192e-01 8.2688496355e-01 8.3831663273e-01
1.8609022556e+03 7.7794806808e-01 8.0082359005e-01 8.2322366114e-01 8.2512058626e-01 8.3669192080e-01
1.8796992481e+03 7.7534186677e-01 7.9855707347e-01 8.2130386062e-01 8.2334516180e-01 8.3505586848e-01
1.8984962406e+03 7.7272412125e-01 7.9628117229e-01 8.1937341536e-01 8.2155896792e-01 8.3340854422e-01
