time_us curve_3_3 curve_8_25 curve_16_5 curve_24_75 curve_33 curve_66 curve_165 curve_330
1.1641276938e+00 6.9420768791e-01 7.5462314862e-01 7.8380983783e-01 7.9507770699e-01 7.0190615564e-01 7.4338848687e-01 6.2048646329e-01 7.0149657867e-01
1.2085783075e+00 6.9071862265e-01 7.5111545001e-01 7.7946036468e-01 7.9016678948e-01 7.0161579617e-01 7.4097850155e-01 6.1745756313e-01 6.9892364269e-01
1.2547262067e+00 6.8395548636e-01 7.4629758508e-01 7.7543512063e-01 7.8537485066e-01 6.9759234272e-01 7.3772278662e-01 6.1509151822e-01 6.9636725467e-01
1.3026361999e+00 6.7864685002e-01 7.4194960749e-01 7.7080899121e-01 7.8068143287e-01 6.9504815001e-01 7.3316503157e-01 6.1407444842e-01 6.9340504417e-01
1.3523755703e+00 6.7623102237e-01 7.3896053186e-01 7.6516428785e-01 7.7569480832e-01 6.9126931023e-01 7.2946775513e-01 6.1104068739e-01 6.8876576733e-01
1.4040141700e+00 6.7361176242e-01 7.3495232248e-01 7.6016416421e-01 7.7057931864e-01 6.8722070305e-01 7.2568207066e-01 6.0815552483e-01 6.8498127457e-01
1.4576245187e+00 6.6797752621e-01 7.3002642106e-01 7.5548965020e-01 7.6556868758e-01 6.8365132286e-01 7.2097153894e-01 6.0659292337e-01 6.8060056310e-01
1.5132819047e+00 6.6354956598e-01 7.2479075979e-01 7.5053231722e-01 7.6071637114e-01 6.8039997098e-01 7.1718689232e-01 6.0264491613e-01 6.7496236456e-01
1.5710644914e+00 6.5920865069e-01 7.2198050410e-01 7.4578519426e-01 7.5530351245e-01 6.7734675225e-01 7.1153798836e-01 5.9974324842e-01 6.7185193485e-01
1.6310534266e+00 6.5524761308e-01 7.1644663286e-01 7.4054397340e-01 7.4953931754e-01 6.7183160782e-01 7.0805911122e-01 5.9764850954e-01 6.6755898123e-01
1.6933329567e+00 6.5005854647e-01 7.1136140996e-01 7.3408431572e-01 7.4388628816e-01 6.6676265564e-01 7.0193264572e-01 5.9469165145e-01 6.6404870967e-01
1.7579905450e+00 6.4483415288e-01 7.0515232671e-01 7.2728143802e-01 7.3797925138e-01 6.6024013125e-01 6.9761896778e-01 5.9240534349e-01 6.5919959055e-01
1.8251169943e+00 6.4234606092e-01 6.9914916323e-01 7.2096580024e-01 7.3214367715e-01 6.5841279846e-01 6.9109570827e-01 5.8589776793e-01 6.5420694616e-01
1.8948065747e+00 6.3741927892e-01 6.9292250224e-01 7.1323295096e-01 7.2668337075e-01 6.5469743493e-01 6.8616694600e-01 5.8271065366e-01 6.4979097131e-01
1.9671571558e+00 6.3412297454e-01 6.8624766565e-01 7.0695602354e-01 7.1966240459e-01 6.5244311895e-01 6.8009298284e-01 5.7484937439e-01 6.4406531109e-01
2.0422703442e+00 6.2402861951e-01 6.8003417732e-01 7.0086009701e-01 7.1324676492e-01 6.4693207441e-01 6.7470421206e-01 5.7134902389e-01 6.4204585226e-01
2.1202516264e+00 6.2081756883e-01 6.7661470402e-01 6.9490087962e-01 7.0586748597e-01 6.4426882749e-01 6.6978816513e-01 5.6537355584e-01 6.3874403517e-01
2.2012105165e+00 6.1568247704e-01 6.7138983022e-01 6.8836913748e-01 6.9979865252e-01 6.3858945043e-01 6.6138229010e-01 5.5962618717e-01 6.3352311817e-01
2.2852607104e+00 6.0959980107e-01 6.6371743707e-01 6.8265668874e-01 6.9457956865e-01 6.3157224116e-01 6.5613197339e-01 5.5768148825e-01 6.2800795818e-01
2.3725202452e+00 6.0556993823e-01 6.5704002017e-01 6.7617775948e-01 6.8747661339e-01 6.2494311465e-01 6.4879428022e-01 5.5104280678e-01 6.2513949563e-01
2.4631116653e+00 5.9958116082e-01 6.5082779158e-01 6.6823020644e-01 6.8057989511e-01 6.1986743135e-01 6.4321993022e-01 5.4434729955e-01 6.2114501396e-01
2.5571621941e+00 5.9495034574e-01 6.4304306925e-01 6.6094324297e-01 6.7218801986e-01 6.1439169874e-01 6.3745982314e-01 5.4131491032e-01 6.1631808977e-01
2.6548039128e+00 5.8756295955e-01 6.3591444596e-01 6.5352590077e-01 6.6516765333e-01 6.0913044498e-01 6.3232037124e-01 5.3899468874e-01 6.1040833101e-01
2.7561739462e+00 5.8089922424e-01 6.2772234316e-01 6.4573181844e-01 6.5765670585e-01 6.0401618044e-01 6.2352962833e-01 5.3613851229e-01 6.0467649686e-01
2.8614146548e+00 5.7676934490e-01 6.1902501809e-01 6.3944359959e-01 6.5033291846e-01 5.9877862183e-01 6.1847858815e-01 5.2995968992e-01 5.9812611446e-01
2.9706738350e+00 5.6944409068e-01 6.1226858550e-01 6.3290812852e-01 6.4201966612e-01 5.9082307217e-01 6.1102632287e-01 5.2721991544e-01 5.9523620335e-01
3.0841049266e+00 5.6519081089e-01 6.0526908910e-01 6.2542990625e-01 6.3504756724e-01 5.8591523876e-01 6.0375208394e-01 5.2122184682e-01 5.8867136055e-01
3.2018672284e+00 5.6350025456e-01 5.9926676464e-01 6.1895731870e-01 6.2679188724e-01 5.7740797017e-01 5.9642623370e-01 5.1767136601e-01 5.8380247882e-01
3.3241261215e+00 5.5727489236e-01 5.9273795749e-01 6.1151596858e-01 6.1970645401e-01 5.6909763722e-01 5.9001425248e-01 5.1289985891e-01 5.7715485301e-01
3.4510533022e+00 5.4943784204e-01 5.8557753035e-01 6.0347031872e-01 6.1254401674e-01 5.6290741648e-01 5.8294053381e-01 5.0791952538e-01 5.6968905551e-01
3.5828270226e+00 5.4227470633e-01 5.7954939397e-01 5.9571569475e-01 6.0498386875e-01 5.5675850941e-01 5.7534257446e-01 5.0772944846e-01 5.6501508118e-01
3.7196323411e+00 5.3511390354e-01 5.7254925228e-01 5.8812085299e-01 5.9747509478e-01 5.5007215115e-01 5.6754755513e-01 5.0332314873e-01 5.5828332238e-01
3.8616613825e+00 5.2826489798e-01 5.6652615843e-01 5.8060405293e-01 5.8961540327e-01 5.4269205728e-01 5.5872687269e-01 5.0152264833e-01 5.5397594230e-01
4.0091136072e+00 5.1697633348e-01 5.6046102428e-01 5.7191632761e-01 5.8225603736e-01 5.3582162340e-01 5.5277672391e-01 4.9614562972e-01 5.4513408226e-01
4.1621960923e+00 5.1393512863e-01 5.5190995447e-01 5.6430756297e-01 5.7431305564e-01 5.3194201008e-01 5.4539361197e-01 4.9248044507e-01 5.3783290541e-01
4.3211238213e+00 5.0927622578e-01 5.4474000087e-01 5.5747445146e-01 5.6549938266e-01 5.2589064491e-01 5.3950916787e-01 4.8431020076e-01 5.3395381153e-01
4.4861199869e+00 5.0115394464e-01 5.3858052543e-01 5.5028282804e-01 5.5722961781e-01 5.1769680585e-01 5.3139069059e-01 4.7764546651e-01 5.2878495251e-01
4.6574163040e+00 4.9589536835e-01 5.3036809330e-01 5.4283368859e-01 5.4875831490e-01 5.1203930615e-01 5.2334802137e-01 4.7328317624e-01 5.2398097208e-01
4.8352533353e+00 4.8833190315e-01 5.2255258792e-01 5.3459068743e-01 5.4059784165e-01 5.0276930619e-01 5.1721464182e-01 4.7067944948e-01 5.1752493061e-01
5.0198808287e+00 4.8346863877e-01 5.1359890113e-01 5.2696525866e-01 5.3243266604e-01 4.9566594963e-01 5.1020067451e-01 4.6994604394e-01 5.1224322321e-01
5.2115580689e+00 4.7340374855e-01 5.0499793315e-01 5.1839224098e-01 5.2416283017e-01 4.8709729599e-01 5.0465323414e-01 4.6441728991e-01 5.0509508691e-01
5.4105542407e+00 4.6897238386e-01 4.9730514235e-01 5.1112221656e-01 5.1573919922e-01 4.8316050159e-01 4.9648245371e-01 4.5819509844e-01 4.9976926005e-01
5.6171488074e+00 4.6636286311e-01 4.8867870382e-01 5.0367339840e-01 5.0714955244e-01 4.7489631615e-01 4.8821433700e-01 4.4910005828e-01 4.9182991539e-01
5.8316319033e+00 4.5643428130e-01 4.8414149386e-01 4.9611777407e-01 4.9920543577e-01 4.7064084095e-01 4.8132767764e-01 4.4336126733e-01 4.8484938843e-01
6.0543047410e+00 4.5145229659e-01 4.7567623557e-01 4.8747175772e-01 4.9089694355e-01 4.6308496041e-01 4.7481337076e-01 4.3748177050e-01 4.7755716514e-01
6.2854800345e+00 4.4481902771e-01 4.6988954626e-01 4.7961770924e-01 4.8282377338e-01 4.5743345143e-01 4.6728760025e-01 4.3313295362e-01 4.7168954274e-01
6.5254824385e+00 4.4110360195e-01 4.6188034290e-01 4.7081116823e-01 4.7535919995e-01 4.5176550527e-01 4.5963231320e-01 4.2866718070e-01 4.6548371462e-01
6.7746490039e+00 4.3547170217e-01 4.5450962070e-01 4.6353204223e-01 4.6801707266e-01 4.4567803623e-01 4.5309345025e-01 4.2380641916e-01 4.5948310440e-01
7.0333296516e+00 4.2823568932e-01 4.4772771271e-01 4.5688950036e-01 4.6003381431e-01 4.3716353725e-01 4.4582279085e-01 4.1749700307e-01 4.5171175245e-01
7.3018876638e+00 4.2386745553e-01 4.4051517198e-01 4.5022567846e-01 4.5276889964e-01 4.3166660191e-01 4.4007169052e-01 4.1318953489e-01 4.4472668386e-01
7.5807001941e+00 4.1520601905e-01 4.3494509626e-01 4.4149573913e-01 4.4525391964e-01 4.2389232949e-01 4.3179584675e-01 4.0852597177e-01 4.3901081447e-01
7.8701587971e+00 4.1033119796e-01 4.2674598269e-01 4.3400697850e-01 4.3791558550e-01 4.1798210427e-01 4.2519366360e-01 4.0474033266e-01 4.3392559220e-01
8.1706699785e+00 4.0577041844e-01 4.2072143123e-01 4.2727755806e-01 4.3052771236e-01 4.1138623011e-01 4.2025658938e-01 3.9969504346e-01 4.2955527538e-01
8.4826557657e+00 3.9874713510e-01 4.1450190708e-01 4.2244277972e-01 4.2361564878e-01 4.1006241978e-01 4.1533181357e-01 3.9146214814e-01 4.2407856745e-01
8.8065543008e+00 3.9253372047e-01 4.0869507484e-01 4.1547607882e-01 4.1668674050e-01 4.0350833192e-01 4.0613178116e-01 3.8359193551e-01 4.1809746554e-01
9.1428204556e+00 3.8704673462e-01 4.0192318567e-01 4.1011756349e-01 4.0936008706e-01 3.9739142956e-01 3.9997928979e-01 3.8172906442e-01 4.1417018893e-01
9.4919264707e+00 3.8174319168e-01 3.9694479286e-01 4.0291005597e-01 4.0360770592e-01 3.9346427074e-01 3.9501172116e-01 3.7503242025e-01 4.0922873433e-01
9.8543626185e+00 3.7775558200e-01 3.8934035442e-01 3.9706985313e-01 3.9678759455e-01 3.8595054483e-01 3.8905394042e-01 3.7390746091e-01 4.0561387920e-01
1.0230637892e+01 3.7277506871e-01 3.8184709431e-01 3.9148373312e-01 3.9131567195e-01 3.8026438347e-01 3.8407713302e-01 3.6950446093e-01 3.9943057331e-01
1.0621280718e+01 3.6656254924e-01 3.7888160280e-01 3.8666973859e-01 3.8590939014e-01 3.7945182881e-01 3.7929047067e-01 3.6652175533e-01 3.9113405391e-01
1.1026839704e+01 3.6136566727e-01 3.7461313781e-01 3.7956912253e-01 3.7990166872e-01 3.7113865810e-01 3.7310150316e-01 3.6352680958e-01 3.8614727285e-01
1.1447884401e+01 3.5642124611e-01 3.6961801371e-01 3.7365621550e-01 3.7467076207e-01 3.6827268673e-01 3.6834832611e-01 3.5603272233e-01 3.7824072120e-01
1.1885006110e+01 3.5028923733e-01 3.6525042878e-01 3.6850305021e-01 3.6835664178e-01 3.6355024144e-01 3.6257076587e-01 3.5393065186e-01 3.7292422773e-01
1.2338818710e+01 3.4961099940e-01 3.5926160615e-01 3.6278294611e-01 3.6301449078e-01 3.6061015735e-01 3.5831763696e-01 3.5460370599e-01 3.6747168405e-01
1.2809959520e+01 3.4463857962e-01 3.5577753502e-01 3.5762842349e-01 3.5832180502e-01 3.5380918073e-01 3.5350770682e-01 3.4984933743e-01 3.6416738831e-01
1.3299090193e+01 3.4144349772e-01 3.5226138098e-01 3.5286765040e-01 3.5354998752e-01 3.4899145847e-01 3.4782483588e-01 3.4524752710e-01 3.5845457995e-01
1.3806897647e+01 3.3916986306e-01 3.4597191891e-01 3.4905755677e-01 3.4906963011e-01 3.4335396968e-01 3.4433292951e-01 3.4100109094e-01 3.5388237999e-01
1.4334095030e+01 3.3163401803e-01 3.4127805958e-01 3.4488111018e-01 3.4506821140e-01 3.4200933540e-01 3.3950260765e-01 3.3783502395e-01 3.5361549544e-01
