time_us curve_2 curve_5 curve_7 curve_10 curve_20
2.6363636364e+01 2.0335716306e-03 6.6928538963e-03 1.0638864926e-02 1.7523910979e-02 4.5548881037e-02
2.6666666667e+01 1.9659809527e-03 6.4638995001e-03 1.0696940723e-02 1.7510917274e-02 4.4637765937e-02
2.6969696970e+01 1.9145051269e-03 6.3122889046e-03 1.0345040424e-02 1.7034589125e-02 4.3853457714e-02
2.7272727273e+01 1.8888624740e-03 6.2554378174e-03 1.0038809328e-02 1.6862758673e-02 4.3051471571e-02
2.7575757576e+01 2.0128313422e-03 6.1623939006e-03 9.8332036626e-03 1.6608401909e-02 4.1733406392e-02
2.7878787879e+01 1.9622358875e-03 6.0331995630e-03 9.4554058286e-03 1.6279075066e-02 4.1218085521e-02
2.8181818182e+01 1.9892717850e-03 6.0764940695e-03 9.2390434736e-03 1.6145993509e-02 4.0433933448e-02
2.8484848485e+01 2.0868599968e-03 5.7775299392e-03 9.1078667438e-03 1.5930024735e-02 4.0375847110e-02
2.8787878788e+01 1.9859000683e-03 5.6083783486e-03 8.8376629124e-03 1.5485958895e-02 3.9806694489e-02
2.9090909091e+01 1.9436050091e-03 5.5769764019e-03 8.6490969819e-03 1.5387232902e-02 3.8937917159e-02
2.9393939394e+01 1.8454689919e-03 5.5495613292e-03 8.7491356524e-03 1.5019495756e-02 3.8266438684e-02
2.9696969697e+01 1.8839685222e-03 5.5549847685e-03 8.6905265600e-03 1.4784684183e-02 3.7968690352e-02
3.0000000000e+01 1.8171633685e-03 5.6006689457e-03 8.5829420348e-03 1.4281137676e-02 3.7564402758e-02
