time_us curve_0 curve_0_5 curve_1 curve_5
7.9899497487e+01 3.7010291217e-03 3.9901647957e-03 7.6506133047e-03 1.8776395280e-02
8.0402010050e+01 3.6681997815e-03 4.0229600512e-03 7.5628888404e-03 2.0084718513e-02
8.0904522613e+01 3.7530833895e-03 4.0327784088e-03 7.3559581002e-03 1.8372782525e-02
8.1407035176e+01 3.7265368293e-03 4.0244620614e-03 7.3288717111e-03 1.9023718380e-02
8.1909547739e+01 3.6821540661e-03 4.0120481446e-03 7.3753421019e-03 1.8548884741e-02
8.2412060302e+01 3.5790959191e-03 3.9599718004e-03 7.1799275047e-03 1.8326898155e-02
8.2914572864e+01 3.5646730052e-03 4.0666283802e-03 7.2719016757e-03 1.8203310737e-02
8.3417085427e+01 3.5644187867e-03 4.2022721883e-03 7.2789261402e-03 1.8808803600e-02
8.3919597990e+01 3.5347283099e-03 4.2006758125e-03 6.9550961993e-03 1.8868022656e-02
8.4422110553e+01 3.4064655582e-03 4.0349193717e-03 6.4292687645e-03 2.0207244381e-02
8.4924623116e+01 3.4155106473e-03 3.9707844266e-03 6.5022518206e-03 1.7733506252e-02
8.5427135678e+01 3.3881017818e-03 3.9953734814e-03 6.4204191725e-03 1.9034992699e-02
8.5929648241e+01 3.4437701745e-03 4.0237796056e-03 6.3184950708e-03 1.8983580268e-02
8.6432160804e+01 3.4385347576e-03 3.9566859626e-03 6.3474434247e-03 1.9401545208e-02
8.6934673367e+01 3.4661677704e-03 3.9971321086e-03 6.0677414884e-03 2.0510749542e-02
8.7437185930e+01 3.5131532237e-03 3.9953337612e-03 6.5715157944e-03 1.9610312683e-02
8.7939698492e+01 3.3317872479e-03 3.9404206922e-03 6.4686841902e-03 1.9548053163e-02
8.8442211055e+01 3.3626133238e-03 3.8757144124e-03 6.4417841246e-03 1.9613633425e-02
8.8944723618e+01 3.4370105750e-03 3.9291086196e-03 6.3866608205e-03 1.9075686209e-02
8.9447236181e+01 3.3072809561e-03 3.8473739470e-03 6.5341081490e-03 1.7243474224e-02
8.9949748744e+01 3.3080536894e-03 3.7132679397e-03 6.5177524651e-03 1.7659515429e-02
9.0452261307e+01 3.3026401224e-03 3.6218501147e-03 6.2971017698e-03 1.7777518685e-02
9.0954773869e+01 3.2249334342e-03 3.5463260863e-03 6.5224809023e-03 1.6708923602e-02
9.1457286432e+01 3.1996813294e-03 3.5449866022e-03 6.6883272819e-03 1.6727182264e-02
9.1959798995e+01 3.1438752587e-03 3.6188338652e-03 6.3733004919e-03 1.5137896341e-02
9.2462311558e+01 3.2070780320e-03 3.6049469317e-03 6.6843870626e-03 1.5293284798e-02
9.2964824121e+01 3.1405240258e-03 3.4874305434e-03 6.3807064309e-03 1.4686862446e-02
9.3467336683e+01 3.1191228974e-03 3.5152487056e-03 6.4600679414e-03 1.5240849899e-02
9.3969849246e+01 3.0371332394e-03 3.5447021694e-03 6.0835700574e-03 1.5666294958e-02
9.4472361809e+01 2.9231198929e-03 3.4673079416e-03 5.8358726134e-03 1.4624836300e-02
9.4974874372e+01 2.9541055648e-03 3.4155376655e-03 5.8319714653e-03 1.3735417358e-02
9.5477386935e+01 2.8720530151e-03 3.5504978687e-03 5.9252041195e-03 1.3039590966e-02
9.5979899497e+01 2.9076910721e-03 3.5659713986e-03 5.8639753701e-03 1.2231817553e-02
9.6482412060e+01 2.8538328343e-03 3.5560912594e-03 6.0702841126e-03 1.2627634701e-02
9.6984924623e+01 2.9033184482e-03 3.4699526471e-03 6.0138103953e-03 1.4128215989e-02
9.7487437186e+01 2.8350253654e-03 3.3631100709e-03 5.8415674172e-03 1.3285755476e-02
9.7989949749e+01 2.8038940214e-03 3.4616266034e-03 5.7906029696e-03 1.3263703670e-02
9.8492462312e+01 2.7798460416e-03 3.3988066583e-03 5.8110142575e-03 1.2403121559e-02
9.8994974874e+01 2.7972235105e-03 3.3733849098e-03 5.7453871988e-03 1.2391002177e-02
9.9497487437e+01 2.6826797409e-03 3.3258149371e-03 5.9371163004e-03 1.1708475914e-02
1.0000000000e+02 2.6929963900e-03 3.2827499125e-03 5.9388876675e-03 1.2834422553e-02
