time_us curve_320 curve_640
8.0500265657e+00 4.6101107546e-01 5.1088302285e-01
8.3148331427e+00 4.5443418111e-01 5.0387525567e-01
8.5883505635e+00 4.4805575749e-01 4.9723468813e-01
8.8708653723e+00 4.4180672033e-01 4.9104098053e-01
9.1626735391e+00 4.3536045511e-01 4.8461523490e-01
9.4640807701e+00 4.2919782192e-01 4.7857551793e-01
9.7754028277e+00 4.2322559665e-01 4.7230999433e-01
1.0096965861e+01 4.1738462439e-01 4.6606187573e-01
1.0429106749e+01 4.1156162559e-01 4.6047197819e-01
1.0772173450e+01 4.0593628715e-01 4.5440127515e-01
1.1126525371e+01 4.0050889964e-01 4.4884255222e-01
1.1492533741e+01 3.9517829292e-01 4.4352689903e-01
1.1870581999e+01 3.9014479391e-01 4.3795259119e-01
1.2261066200e+01 3.8514533836e-01 4.3291684122e-01
1.2664395424e+01 3.8060064723e-01 4.2796852654e-01
1.3080992211e+01 3.7608303668e-01 4.2289989293e-01
1.3511292999e+01 3.7157173373e-01 4.1800174265e-01
1.3955748582e+01 3.6732189664e-01 4.1351957322e-01
1.4414824584e+01 3.6313275384e-01 4.0879545062e-01
1.4889001946e+01 3.5898254791e-01 4.0415014630e-01
1.5378777428e+01 3.5537181808e-01 3.9992928942e-01
1.5884664132e+01 3.5175378564e-01 3.9540984828e-01
1.6407192040e+01 3.4848075560e-01 3.9153248714e-01
1.6946908564e+01 3.4509943394e-01 3.8769320236e-01
1.7504379128e+01 3.4178764160e-01 3.8471748446e-01
1.8080187752e+01 3.3893548160e-01 3.8137775979e-01
1.8674937669e+01 3.3625790797e-01 3.7793975405e-01
1.9289251955e+01 3.3361966369e-01 3.7501148787e-01
1.9923774182e+01 3.3124774740e-01 3.7240975004e-01
2.0579169093e+01 3.2893558566e-01 3.6969543581e-01
2.1256123297e+01 3.2694277815e-01 3.6696080894e-01
2.1955345990e+01 3.2473918281e-01 3.6485644225e-01
2.2677569696e+01 3.2284415524e-01 3.6303913040e-01
2.3423551037e+01 3.2128236290e-01 3.6130190044e-01
2.4194071522e+01 3.1953515821e-01 3.5900094873e-01
2.4989938369e+01 3.1800315234e-01 3.5743814219e-01
2.5811985351e+01 3.1641133772e-01 3.5569463827e-01
2.6661073665e+01 3.1497725580e-01 3.5385190121e-01
2.7538092840e+01 3.1377793538e-01 3.5218174812e-01
2.8443961665e+01 3.1264436864e-01 3.5068089679e-01
2.9379629152e+01 3.1159998078e-01 3.4942120288e-01
3.0346075532e+01 3.1066256229e-01 3.4862867021e-01
3.1344313280e+01 3.0979942769e-01 3.4758898777e-01
3.2375388177e+01 3.0922661195e-01 3.4717141388e-01
3.3440380404e+01 3.0853024826e-01 3.4662870204e-01
3.4540405677e+01 3.0785242953e-01 3.4563092506e-01
3.5676616412e+01 3.0735477947e-01 3.4473617269e-01
3.6850202933e+01 3.0682215544e-01 3.4447389292e-01
3.8062394722e+01 3.0650061198e-01 3.4419967202e-01
3.9314461704e+01 3.0627262750e-01 3.4362736126e-01
4.0607715577e+01 3.0597130913e-01 3.4302396671e-01
4.1943511189e+01 3.0579919426e-01 3.4310698626e-01
4.3323247956e+01 3.0550003322e-01 3.4312049029e-01
4.4748371327e+01 3.0554570565e-01 3.4286239394e-01
4.6220374301e+01 3.0551683867e-01 3.4334174990e-01
4.7740798986e+01 3.0559340431e-01 3.4332204090e-01
4.9311238222e+01 3.0557834794e-01 3.4323688736e-01
5.0933337242e+01 3.0513033051e-01 3.4294204463e-01
5.2608795402e+01 3.0537548849e-01 3.4311193028e-01
5.4339367956e+01 3.0523350497e-01 3.4366985430e-01
5.6126867899e+01 3.0546771911e-01 3.4386871453e-01
5.7973167865e+01 3.0522327145e-01 3.4332170588e-01
5.9880202086e+01 3.0536601366e-01 3.4371279016e-01
6.1849968424e+01 3.0550627121e-01 3.4380999520e-01
6.3884530459e+01 3.0521330789e-01 3.4391400495e-01
6.5986019653e+01 3.0513709297e-01 3.4430179744e-01
6.8156637583e+01 3.0534106203e-01 3.4395245520e-01
7.0398658247e+01 3.0533325903e-01 3.4449963025e-01
7.2714430446e+01 3.0560723374e-01 3.4395890297e-01
7.5106380245e+01 3.0598256284e-01 3.4412031291e-01
7.7577013517e+01 3.0469279655e-01 3.4247124680e-01
8.0128918562e+01 3.0428865322e-01 3.4061589088e-01
8.2764768826e+01 3.0352536419e-01 3.3957067088e-01
8.5487325697e+01 3.0334500092e-01 3.3977221759e-01
8.8299441398e+01 3.0320450757e-01 3.3899673163e-01
9.1204061978e+01 3.0272491536e-01 3.3961471230e-01
9.4204230397e+01 3.0296844104e-01 3.3970755309e-01
9.7303089710e+01 3.0303859655e-01 3.3876420461e-01
1.0050388637e+02 3.0290457933e-01 3.3953009297e-01
1.0380997361e+02 3.0309934704e-01 3.3957473751e-01
1.0722481498e+02 3.0311053332e-01 3.4052479565e-01
1.1075198797e+02 3.0272713003e-01 3.3965301041e-01
1.1439518773e+02 3.0226645958e-01 3.3934351333e-01
1.1815823097e+02 3.0246441749e-01 3.3898607579e-01
1.2204505997e+02 3.0281530117e-01 3.3972564067e-01
1.2605974667e+02 3.0273463286e-01 3.3978150354e-01
1.3020649697e+02 3.0257682547e-01 3.3981843847e-01
1.3448965510e+02 3.0236025617e-01 3.3972334334e-01
1.3891370823e+02 3.0216067484e-01 3.3869299243e-01
1.4348329111e+02 3.0229491380e-01 3.3892726562e-01
1.4820319096e+02 3.0228830859e-01 3.3934781700e-01
1.5307835248e+02 3.0133163271e-01 3.3936684516e-01
1.5811388301e+02 3.0054138558e-01 3.3748514481e-01
1.6331505791e+02 3.0039896014e-01 3.3696217930e-01
1.6868732608e+02 3.0023783844e-01 3.3798149016e-01
1.7423631565e+02 2.9992495246e-01 3.3648912577e-01
1.7996783988e+02 2.9993806854e-01 3.3635085934e-01
1.8588790328e+02 2.9950511738e-01 3.3659216620e-01
1.9200270787e+02 2.9977435078e-01 3.3628059859e-01
1.9831865968e+02 2.9976687383e-01 3.3670408811e-01
2.0484237548e+02 2.9957997503e-01 3.3730201205e-01
2.1158068967e+02 2.9961293595e-01 3.3657354380e-01
2.1854066151e+02 2.9966627375e-01 3.3704818695e-01
2.2572958245e+02 2.9940811267e-01 3.3684417967e-01
2.3315498379e+02 2.9795189742e-01 3.3447471561e-01
2.4082464459e+02 2.9778943716e-01 3.3420111982e-01
2.4874659979e+02 2.9753489790e-01 3.3423442763e-01
2.5692914865e+02 2.9718678066e-01 3.3436581969e-01
2.6538086341e+02 2.9666490118e-01 3.3285564572e-01
2.7411059834e+02 2.9644120709e-01 3.3261832582e-01
2.8312749893e+02 2.9629890796e-01 3.3243888794e-01
2.9244101153e+02 2.9594971090e-01 3.3142185220e-01
3.0206089323e+02 2.9619371271e-01 3.3208663075e-01
3.1199722208e+02 2.9461411691e-01 3.3049395596e-01
3.2226040765e+02 2.9443882165e-01 3.3076740887e-01
3.3286120192e+02 2.9376034044e-01 3.3023422915e-01
3.4381071057e+02 2.9369670123e-01 3.3033946034e-01
3.5512040460e+02 2.9331862810e-01 3.2914815729e-01
3.6680213236e+02 2.9303831105e-01 3.2934611057e-01
3.7886813194e+02 2.9269085289e-01 3.2966848336e-01
3.9133104400e+02 2.9116344802e-01 3.2727633046e-01
4.0420392503e+02 2.9011441136e-01 3.2692127250e-01
4.1750026101e+02 2.9007170532e-01 3.2662485420e-01
4.3123398153e+02 2.8993653871e-01 3.2534687406e-01
4.4541947441e+02 2.8933226299e-01 3.2550584894e-01
4.6007160076e+02 2.8803673092e-01 3.2419718299e-01
4.7520571055e+02 2.8779472881e-01 3.2364648440e-01
4.9083765867e+02 2.8732903246e-01 3.2265570262e-01
5.0698382157e+02 2.8624477250e-01 3.2294804922e-01
5.2366111441e+02 2.8588859876e-01 3.2108312601e-01
5.4088700877e+02 2.8473855703e-01 3.1976807530e-01
5.5867955097e+02 2.8372892273e-01 3.1950441827e-01
5.7705738096e+02 2.8382952905e-01 3.1954903863e-01
5.9603975183e+02 2.8293787783e-01 3.1840154478e-01
6.1564655005e+02 2.8156426690e-01 3.1645204241e-01
6.3589831621e+02 2.8104804703e-01 3.1615409395e-01
6.5681626662e+02 2.8059428511e-01 3.1502787146e-01
6.7842231548e+02 2.7989433485e-01 3.1431094440e-01
7.0073909788e+02 2.7813488207e-01 3.1240244011e-01
7.2378999348e+02 2.7714571023e-01 3.1138260398e-01
7.4759915102e+02 2.7644117009e-01 3.1143367413e-01
7.7219151361e+02 2.7521088167e-01 3.0900757032e-01
7.9759284489e+02 2.7387205398e-01 3.0766120459e-01
8.2382975596e+02 2.7308879081e-01 3.0657915177e-01
8.5092973333e+02 2.7223621726e-01 3.0540603583e-01
8.7892116767e+02 2.7093937476e-01 3.0561055651e-01
9.0783338355e+02 2.7027352520e-01 3.0325933757e-01
9.3769667020e+02 2.6884642251e-01 3.0213966175e-01
9.6854231320e+02 2.6776638315e-01 3.0055844860e-01
1.0004026273e+03 2.6585515697e-01 2.9861835456e-01
1.0333109902e+03 2.6465345786e-01 2.9681991806e-01
1.0673018775e+03 2.6369581627e-01 2.9616446982e-01
1.1024108992e+03 2.6178624786e-01 2.9518498007e-01
1.1386748362e+03 2.6075561987e-01 2.9355526957e-01
1.1761316798e+03 2.5916982397e-01 2.9097465282e-01
1.2148206707e+03 2.5795827087e-01 2.8978784908e-01
1.2547823405e+03 2.5611881018e-01 2.8714466725e-01
1.2960585542e+03 2.5463316151e-01 2.8826460459e-01
1.3386925538e+03 2.5279835205e-01 2.8445326112e-01
1.3827290038e+03 2.5106118108e-01 2.8182491909e-01
1.4282140381e+03 2.4996485079e-01 2.8046587066e-01
1.4751953080e+03 2.4772731576e-01 2.7836917865e-01
1.5237220324e+03 2.4633855121e-01 2.7670634439e-01
1.5738450491e+03 2.4422228540e-01 2.7512961833e-01
1.6256168683e+03 2.4227863288e-01 2.7184855738e-01
1.6790917277e+03 2.3998119974e-01 2.7060882250e-01
1.7343256489e+03 2.3824007344e-01 2.6740042035e-01
1.7913764965e+03 2.3636512617e-01 2.6595836501e-01
1.8503040384e+03 2.3442590920e-01 2.6332652930e-01
1.9111700089e+03 2.3219864146e-01 2.6025652501e-01
1.9740381726e+03 2.3002820070e-01 2.5827711661e-01
2.0389743920e+03 2.2740216714e-01 2.5629750533e-01
2.1060466961e+03 2.2533748980e-01 2.5299144259e-01
2.1753253515e+03 2.2310138377e-01 2.5088274473e-01
2.2468829366e+03 2.2018391642e-01 2.4932206031e-01
2.3207944168e+03 2.1815893085e-01 2.4607473176e-01
2.3971372240e+03 2.1563021818e-01 2.4310480172e-01
2.4759913368e+03 2.1304916506e-01 2.3951059952e-01
2.5574393650e+03 2.1040155542e-01 2.3750363005e-01
2.6415666357e+03 2.0777698623e-01 2.3326609602e-01
2.7284612830e+03 2.0509997540e-01 2.3111899109e-01
2.8182143400e+03 2.0239932158e-01 2.2762879317e-01
2.9109198344e+03 1.9955817088e-01 2.2369860510e-01
3.0066748870e+03 1.9643445765e-01 2.2073860288e-01
3.1055798134e+03 1.9372112553e-01 2.1812513924e-01
3.2077382291e+03 1.9087578903e-01 2.1470672685e-01
3.3132571580e+03 1.8812697522e-01 2.1089939729e-01
3.4222471445e+03 1.8497200158e-01 2.0713707901e-01
3.5348223696e+03 1.8159064353e-01 2.0478863284e-01
3.6511007700e+03 1.7866376088e-01 2.0132648005e-01
3.7712041622e+03 1.7524553583e-01 1.9771086337e-01
3.8952583696e+03 1.7209521536e-01 1.9371792128e-01
4.0233933549e+03 1.6900899417e-01 1.8997564540e-01
4.1557433557e+03 1.6534817187e-01 1.8623597786e-01
4.2924470255e+03 1.6204223470e-01 1.8210888241e-01
4.4336475787e+03 1.5867786600e-01 1.7858856855e-01
4.5794929408e+03 1.5543815713e-01 1.7498793077e-01
4.7301359033e+03 1.5153604138e-01 1.7068043744e-01
4.8857342839e+03 1.4816605263e-01 1.6692599385e-01
5.0464510917e+03 1.4470477762e-01 1.6307663982e-01
5.2124546979e+03 1.4105863923e-01 1.5958673203e-01
5.3839190124e+03 1.3760895364e-01 1.5460010505e-01
5.5610236658e+03 1.3394262740e-01 1.5070976248e-01
5.7439541978e+03 1.3038063215e-01 1.4640080065e-01
5.9329022513e+03 1.2672066120e-01 1.4282997423e-01
6.1280657734e+03 1.2316692459e-01 1.3870089447e-01
6.3296492226e+03 1.1953006869e-01 1.3464091557e-01
6.5378637833e+03 1.1568032136e-01 1.3055065720e-01
6.7529275866e+03 1.1228675556e-01 1.2660741608e-01
6.9750659391e+03 1.0841314387e-01 1.2197298175e-01
7.2045115591e+03 1.0477322746e-01 1.1820759737e-01
7.4415048199e+03 1.0090537696e-01 1.1426884761e-01
7.6862940021e+03 9.7160994524e-02 1.0959860665e-01
7.9391355535e+03 9.3679981897e-02 1.0572024744e-01
8.2002943576e+03 9.0153968315e-02 1.0148508751e-01
8.4700440114e+03 8.6641187723e-02 9.7989309965e-02
8.7486671121e+03 8.2935547744e-02 9.3665310602e-02
9.0364555527e+03 7.9420818661e-02 8.9531284557e-02
9.3337108281e+03 7.6062690575e-02 8.5486782955e-02
9.6407443510e+03 7.2681096016e-02 8.1974948296e-02
9.9578777780e+03 6.9325849102e-02 7.8358516470e-02
1.0285443347e+04 6.6002654692e-02 7.4517988965e-02
1.0623784223e+04 6.2668955806e-02 7.0189193332e-02
1.0973254863e+04 5.9509534262e-02 6.7003930621e-02
1.1334221381e+04 5.6531323664e-02 6.3342113907e-02
1.1707061936e+04 5.3419742227e-02 5.9675274658e-02
1.2092167124e+04 5.0492765848e-02 5.6927862700e-02
1.2489940394e+04 4.7521284023e-02 5.3480042180e-02
1.2900798462e+04 4.4664910390e-02 5.0084466145e-02
1.3325171755e+04 4.1844349704e-02 4.6966984716e-02
1.3763504858e+04 3.9313894884e-02 4.4201284417e-02
1.4216256980e+04 3.6751649537e-02 4.1167896289e-02
1.4683902436e+04 3.4277552519e-02 3.8488097535e-02
1.5166931146e+04 3.1906809308e-02 3.5748937881e-02
1.5665849142e+04 2.9673510688e-02 3.3115811750e-02
1.6181179104e+04 2.7356244344e-02 3.0859376493e-02
1.6713460907e+04 2.5344587495e-02 2.8644098382e-02
1.7263252182e+04 2.3325032568e-02 2.6420723003e-02
1.7831128907e+04 2.1466018051e-02 2.4346883510e-02
1.8417686004e+04 1.9777676299e-02 2.2018164593e-02
1.9023537966e+04 1.8046708472e-02 2.0179326037e-02
1.9649319500e+04 1.6456348130e-02 1.8459729439e-02
2.0295686191e+04 1.4934463278e-02 1.6834666933e-02
2.0963315192e+04 1.3536350189e-02 1.5172370549e-02
2.1652905927e+04 1.2233417702e-02 1.3655298597e-02
2.2365180832e+04 1.1064301402e-02 1.2218772441e-02
2.3100886104e+04 9.9435166540e-03 1.1155836905e-02
2.3860792487e+04 8.8656404720e-03 1.0095775820e-02
2.4645696081e+04 7.8968334012e-03 9.1829766122e-03
2.5456419172e+04 7.0693600013e-03 8.2917979593e-03
2.6293811095e+04 6.2513695577e-03 7.2338272765e-03
2.7158749125e+04 5.6118508700e-03 6.5084318655e-03
2.8052139393e+04 4.8552898474e-03 5.8839098199e-03
2.8974917840e+04 4.2603288854e-03 5.0909723468e-03
2.9928051193e+04 3.7481288591e-03 4.5783404379e-03
3.0912537981e+04 3.2731448527e-03 4.0511815617e-03
3.1929409578e+04 2.8031833201e-03 3.5566193966e-03
3.2979731287e+04 2.4558564056e-03 3.1921689311e-03
3.4064603453e+04 2.1417553847e-03 2.8200997324e-03
3.5185162617e+04 1.8301603683e-03 2.5519726500e-03
3.6342582708e+04 1.5714694413e-03 2.2572147950e-03
3.7538076269e+04 1.3148657076e-03 2.0031628213e-03
3.8772895733e+04 1.1077163029e-03 1.7992862045e-03
4.0048334729e+04 9.5548224658e-04 1.5462483975e-03
4.1365729442e+04 8.4508419582e-04 1.4290733794e-03
4.2726460010e+04 6.9833803744e-04 1.2764866615e-03
4.4131951971e+04 6.0258194153e-04 1.1929222677e-03
4.5583677757e+04 4.9950641152e-04 1.1404539561e-03
4.7083158235e+04 4.3080277260e-04 1.0869300124e-03
4.8631964300e+04 3.8140624990e-04 1.0204702442e-03
5.0231718524e+04 3.3954078165e-04 9.3725638812e-04
5.1884096853e+04 2.9552858725e-04 9.4745886682e-04
5.3590830362e+04 2.6428660665e-04 8.9474901763e-04
5.5353707073e+04 2.3722459404e-04 8.8105887738e-04
5.7174573821e+04 2.2639731882e-04 8.8729423291e-04
5.9055338197e+04 1.9934057068e-04 8.6632474534e-04
6.0997970540e+04 1.8763645024e-04 8.1014215226e-04
6.3004506003e+04 1.7374938288e-04 8.2469401392e-04
6.5077046689e+04 1.7017586716e-04 8.0754278760e-04
6.7217763845e+04 1.6337232097e-04 8.1209116256e-04
6.9428900146e+04 1.5418535539e-04 7.9985739254e-04
7.1712772038e+04 1.5240236336e-04 8.3202313945e-04
7.4071772165e+04 1.5283000778e-04 7.9173720018e-04
7.6508371881e+04 1.4681174305e-04 8.2056888795e-04
7.9025123834e+04 1.4947087555e-04 8.0955125617e-04
8.1624664640e+04 1.4414743376e-04 7.9012602953e-04
8.4309717648e+04 1.4132105488e-04 8.1024475842e-04
8.7083095793e+04 1.4402780697e-04 8.0790133201e-04
