time_us curve_1 curve_5 curve_10 curve_30 curve_70 curve_100 curve_1000
3.6090225564e+03 8.7414586057e-01 7.0161164146e-01 5.5700359561e-01 2.9684620349e-01 1.2129373048e-01 7.9421063140e-02 2.9428851659e-03
3.6842105263e+03 8.7195440888e-01 6.9436342130e-01 5.4740774818e-01 2.8717680503e-01 1.1569722003e-01 7.5365259063e-02 2.7793408903e-03
3.7593984962e+03 8.6973238498e-01 6.8710592316e-01 5.3791612751e-01 2.7781608675e-01 1.1040963741e-01 7.1552272992e-02 2.6280800085e-03
3.8345864662e+03 8.6748044859e-01 6.7984312652e-01 5.2853051976e-01 2.6875795631e-01 1.0541177282e-01 6.7967924457e-02 2.4875535787e-03
3.9097744361e+03 8.6519923901e-01 6.7257873411e-01 5.1925195404e-01 2.5999717920e-01 1.0068502254e-01 6.4599316893e-02 2.3566698987e-03
3.9849624060e+03 8.6288926268e-01 6.6531630086e-01 5.1008041476e-01 2.5152864383e-01 9.6211792420e-02 6.1433725199e-02 2.2345780929e-03
4.0601503759e+03 8.6055102329e-01 6.5805957658e-01 5.0101620070e-01 2.4334754116e-01 9.1975717397e-02 5.8458784437e-02 2.1206768956e-03
4.1353383459e+03 8.5818504357e-01 6.5081224355e-01 4.9205892253e-01 2.3544817668e-01 8.7961922567e-02 5.5662002421e-02 2.0142740903e-03
4.2105263158e+03 8.5579192922e-01 6.4357782237e-01 4.8320850612e-01 2.2782432304e-01 8.4156297301e-02 5.3031024494e-02 1.9147979817e-03
4.2857142857e+03 8.5337188397e-01 6.3635962425e-01 4.7446486418e-01 2.2046902682e-01 8.0546176435e-02 5.0553830188e-02 1.8216787280e-03
4.3609022556e+03 8.5092560571e-01 6.2916120700e-01 4.6582843742e-01 2.1337429688e-01 7.7119470140e-02 4.8218880996e-02 1.7344708795e-03
4.4360902256e+03 8.4845330790e-01 6.2198583832e-01 4.5730006285e-01 2.0653165987e-01 7.3865419524e-02 4.6015348106e-02 1.6527859165e-03
4.5112781955e+03 8.4595556058e-01 6.1483656715e-01 4.4888080458e-01 1.9993218165e-01 7.0773898799e-02 4.3933449543e-02 1.5762289595e-03
4.5864661654e+03 8.4343242780e-01 6.0771643755e-01 4.4057235589e-01 1.9356684172e-01 6.7836015422e-02 4.1964595266e-02 1.5044552110e-03
4.6616541353e+03 8.4088444996e-01 6.0062811737e-01 4.3237627807e-01 1.8742640548e-01 6.5043529634e-02 4.0101363733e-02 1.4370672818e-03
4.7368421053e+03 8.3831185052e-01 5.9357436169e-01 4.2429479131e-01 1.8150196211e-01 6.2389022063e-02 3.8337319664e-02 1.3737306137e-03
4.8120300752e+03 8.3571500808e-01 5.8655739573e-01 4.1632995394e-01 1.7578491724e-01 5.9865287650e-02 3.6666722314e-02 1.3141596130e-03
4.8872180451e+03 8.3309403868e-01 5.7957957566e-01 4.0848377178e-01 1.7026705337e-01 5.7465676962e-02 3.5084533430e-02 1.2581027882e-03
4.9624060150e+03 8.3044936130e-01 5.7264288504e-01 4.0075813124e-01 1.6494078003e-01 5.5183550719e-02 3.3586000186e-02 1.2053477855e-03
5.0375939850e+03 8.2778113777e-01 5.6574934844e-01 3.9315463224e-01 1.5979878672e-01 5.3012084210e-02 3.2166547136e-02 1.1557252675e-03
5.1127819549e+03 8.2508965465e-01 5.5890077787e-01 3.8567462651e-01 1.5483455497e-01 5.0944981631e-02 3.0821679726e-02 1.1091158065e-03
5.1879699248e+03 8.2237518132e-01 5.5209861436e-01 3.7831915023e-01 1.5004154098e-01 4.8975614381e-02 2.9547276310e-02 1.0653414893e-03
5.2631578947e+03 8.1963789825e-01 5.4534435622e-01 3.7108883410e-01 1.4541365503e-01 4.7098040134e-02 2.8339196894e-02 1.0242279812e-03
5.3383458647e+03 8.1687798767e-01 5.3863980516e-01 3.6398389197e-01 1.4094514695e-01 4.5306641233e-02 2.7193592789e-02 9.8556798686e-04
5.4135338346e+03 8.1409585843e-01 5.3198598547e-01 3.5700406162e-01 1.3663004711e-01 4.3596246661e-02 2.6106809698e-02 9.4920774861e-04
5.4887218045e+03 8.1129152616e-01 5.2538421213e-01 3.5014927181e-01 1.3246279775e-01 4.1962298209e-02 2.5075479942e-02 9.1493768841e-04
5.5639097744e+03 8.0846547944e-01 5.1883589013e-01 3.4341877385e-01 1.2843773724e-01 4.0400783580e-02 2.4096306570e-02 8.8259219011e-04
5.6390977444e+03 8.0561778459e-01 5.1234208631e-01 3.3681169042e-01 1.2454958197e-01 3.8908005092e-02 2.3166282531e-02 8.5199872350e-04
5.7142857143e+03 8.0274880642e-01 5.0590387198e-01 3.3032702442e-01 1.2079319872e-01 3.7480709946e-02 2.2282537627e-02 8.2298499631e-04
5.7894736842e+03 7.9985866711e-01 4.9952212028e-01 3.2396372244e-01 1.1716398691e-01 3.6115832541e-02 2.1442226151e-02 7.9544379326e-04
5.8646616541e+03 7.9694784839e-01 4.9319797959e-01 3.1772046318e-01 1.1365757612e-01 3.4810447853e-02 2.0642637195e-02 7.6923241741e-04
5.9398496241e+03 7.9401656444e-01 4.8693217536e-01 3.1159602882e-01 1.1026978739e-01 3.3561948024e-02 1.9881315565e-02 7.4427135495e-04
6.0150375940e+03 7.9106513757e-01 4.8072544048e-01 3.0558897930e-01 1.0699689125e-01 3.2367544456e-02 1.9155894079e-02 7.2044081603e-04
6.0902255639e+03 7.8809394673e-01 4.7457862100e-01 2.9969781871e-01 1.0383556587e-01 3.1224817826e-02 1.8464136876e-02 6.9771029307e-04
6.1654135338e+03 7.8510321952e-01 4.6849206082e-01 2.9392119009e-01 1.0078221490e-01 3.0131264435e-02 1.7803993381e-02 6.7602750733e-04
6.2406015038e+03 7.8209338385e-01 4.6246626239e-01 2.8825710299e-01 9.7833708172e-02 2.9084472960e-02 1.7173622862e-02 6.5536366129e-04
6.3157894737e+03 7.7906487755e-01 4.5650169820e-01 2.8270444146e-01 9.4986785156e-02 2.8082101993e-02 1.6571292239e-02 6.3565334968e-04
6.3909774436e+03 7.7601798466e-01 4.5059874481e-01 2.7726097814e-01 9.2238364643e-02 2.7121976823e-02 1.5995469591e-02 6.1688352889e-04
6.4661654135e+03 7.7295315506e-01 4.4475744045e-01 2.7192511665e-01 8.9585070522e-02 2.6202039065e-02 1.5444698740e-02 5.9900102817e-04
6.5413533835e+03 7.6987092979e-01 4.3897818151e-01 2.6669483065e-01 8.7023809926e-02 2.5320205079e-02 1.4917736056e-02 5.8194952463e-04
6.6165413534e+03 7.6677151516e-01 4.3326074486e-01 2.6156823745e-01 8.4551155773e-02 2.4474644989e-02 1.4413330998e-02 5.6570325060e-04
6.6917293233e+03 7.6365554229e-01 4.2760540204e-01 2.5654342776e-01 8.2163844615e-02 2.3663611334e-02 1.3930472050e-02 5.5017027265e-04
6.7669172932e+03 7.6052350458e-01 4.2201188638e-01 2.5161817371e-01 7.9858395550e-02 2.2885494697e-02 1.3468043321e-02 5.3533358753e-04
6.8421052632e+03 7.5737574495e-01 4.1648026984e-01 2.4679064448e-01 7.7631455422e-02 2.2138883311e-02 1.3025082911e-02 5.2114438570e-04
6.9172932331e+03 7.5421301768e-01 4.1101036992e-01 2.4205891788e-01 7.5479732505e-02 2.1422301529e-02 1.2600688628e-02 5.0755822459e-04
6.9924812030e+03 7.5103551443e-01 4.0560184714e-01 2.3742094627e-01 7.3400033099e-02 2.0734624613e-02 1.2193929461e-02 4.9454793051e-04
7.0676691729e+03 7.4784394571e-01 4.0025443510e-01 2.3287485328e-01 7.1389192731e-02 2.0074659738e-02 1.1803951803e-02 4.8207676261e-04
7.1428571429e+03 7.4463889645e-01 3.9496778948e-01 2.2841888698e-01 6.9444371272e-02 1.9441259207e-02 1.1429931057e-02 4.7012634666e-04
7.2180451128e+03 7.4142072640e-01 3.8974162051e-01 2.2405135506e-01 6.7562927625e-02 1.8833349118e-02 1.1071068229e-02 4.5869771215e-04
7.2932330827e+03 7.3819014690e-01 3.8457556423e-01 2.1977026842e-01 6.5742355493e-02 1.8249929802e-02 1.0726607377e-02 4.4774393701e-04
7.3684210526e+03 7.3494766244e-01 3.7946889603e-01 2.1557423303e-01 6.3980381774e-02 1.7689961714e-02 1.0395872246e-02 4.3727015842e-04
7.4436090226e+03 7.3169384086e-01 3.7442134929e-01 2.1146163948e-01 6.2274912266e-02 1.7152369114e-02 1.0078099873e-02 4.2725540213e-04
7.5187969925e+03 7.2842915917e-01 3.6943224938e-01 2.0743104997e-01 6.0624155171e-02 1.6636095800e-02 9.7727834334e-03 4.1766730578e-04
7.5939849624e+03 7.2515446465e-01 3.6450138491e-01 2.0348101071e-01 5.9026265851e-02 1.6140240177e-02 9.4792699932e-03 4.0848418600e-04
7.6691729323e+03 7.2186997676e-01 3.5962775683e-01 1.9961023912e-01 5.7479432542e-02 1.5663746875e-02 9.1969906614e-03 3.9970034884e-04
7.7443609023e+03 7.1857649927e-01 3.5481127529e-01 1.9581755029e-01 5.5982120049e-02 1.5205709875e-02 8.9255665197e-03 3.9127511437e-04
7.8195488722e+03 7.1527468115e-01 3.5005128305e-01 1.9210155207e-01 5.4532618310e-02 1.4765230577e-02 8.6644593195e-03 3.8318988832e-04
7.8947368421e+03 7.1196508329e-01 3.4534713107e-01 1.8846135978e-01 5.3129348566e-02 1.4341521120e-02 8.4132690917e-03 3.7543111239e-04
7.9699248120e+03 7.0864816489e-01 3.4069856190e-01 1.8489571566e-01 5.1770613653e-02 1.3933814109e-02 8.1716016368e-03 3.6797790977e-04
